country,year,sex,age,suicides_no,population,suicides/100k pop,generation,gdp_for_year ($) ,gdp_per_capita ($)
Czechia,2004,female,5-14 years,3,525775,0.57,Millenials,"1,19,16,21,72,468",12226
Czechia,2005,male,75+ years,113,215366,52.47,Silent,"1,36,28,06,89,891",13961
Czechia,2005,male,35-54 years,516,1427262,36.15,Boomers,"1,36,28,06,89,891",13961
Czechia,2005,male,55-74 years,347,998004,34.77,Silent,"1,36,28,06,89,891",13961
Czechia,2005,male,25-34 years,208,877897,23.69,Generation X,"1,36,28,06,89,891",13961
Czechia,2005,male,15-24 years,85,695191,12.23,Millenials,"1,36,28,06,89,891",13961
Czechia,2005,female,75+ years,50,420901,11.88,Silent,"1,36,28,06,89,891",13961
Czechia,2005,female,35-54 years,109,1408555,7.74,Boomers,"1,36,28,06,89,891",13961
Czechia,2005,female,55-74 years,82,1171511,7,Silent,"1,36,28,06,89,891",13961
Czechia,2005,female,25-34 years,33,841934,3.92,Generation X,"1,36,28,06,89,891",13961
Czechia,2005,female,15-24 years,16,663458,2.41,Millenials,"1,36,28,06,89,891",13961
Czechia,2005,male,5-14 years,4,534812,0.75,Millenials,"1,36,28,06,89,891",13961
Czechia,2005,female,5-14 years,2,506842,0.39,Millenials,"1,36,28,06,89,891",13961
Czechia,2006,male,75+ years,125,222276,56.24,Silent,"1,55,46,38,07,113",15896
Czechia,2006,male,35-54 years,459,1426930,32.17,Boomers,"1,55,46,38,07,113",15896
Czechia,2006,male,55-74 years,299,1022887,29.23,Silent,"1,55,46,38,07,113",15896
Czechia,2006,male,25-34 years,155,884745,17.52,Generation X,"1,55,46,38,07,113",15896
Czechia,2006,male,15-24 years,101,690682,14.62,Millenials,"1,55,46,38,07,113",15896
Czechia,2006,female,75+ years,41,430258,9.53,Silent,"1,55,46,38,07,113",15896
Czechia,2006,female,55-74 years,90,1193318,7.54,Silent,"1,55,46,38,07,113",15896
Czechia,2006,female,35-54 years,95,1401646,6.78,Boomers,"1,55,46,38,07,113",15896
Czechia,2006,female,25-34 years,20,845584,2.37,Generation X,"1,55,46,38,07,113",15896
Czechia,2006,female,15-24 years,12,658122,1.82,Millenials,"1,55,46,38,07,113",15896
Czechia,2006,male,5-14 years,3,515573,0.58,Millenials,"1,55,46,38,07,113",15896
Czechia,2006,female,5-14 years,0,488298,0,Millenials,"1,55,46,38,07,113",15896
Czechia,2007,male,75+ years,109,229015,47.6,Silent,"1,89,22,70,50,760",19273
Czechia,2007,male,55-74 years,322,1047512,30.74,Silent,"1,89,22,70,50,760",19273
Czechia,2007,male,35-54 years,440,1434256,30.68,Boomers,"1,89,22,70,50,760",19273
Czechia,2007,male,25-34 years,176,888983,19.8,Generation X,"1,89,22,70,50,760",19273
Czechia,2007,male,15-24 years,100,690165,14.49,Millenials,"1,89,22,70,50,760",19273
Czechia,2007,female,75+ years,49,438726,11.17,Silent,"1,89,22,70,50,760",19273
Czechia,2007,female,55-74 years,72,1216178,5.92,Silent,"1,89,22,70,50,760",19273
Czechia,2007,female,35-54 years,73,1400706,5.21,Boomers,"1,89,22,70,50,760",19273
Czechia,2007,female,25-34 years,21,846092,2.48,Generation X,"1,89,22,70,50,760",19273
Czechia,2007,female,15-24 years,15,654550,2.29,Millenials,"1,89,22,70,50,760",19273
Czechia,2007,male,5-14 years,2,499126,0.4,Generation Z,"1,89,22,70,50,760",19273
Czechia,2007,female,5-14 years,0,472986,0,Generation Z,"1,89,22,70,50,760",19273
Czechia,2008,male,75+ years,137,235750,58.11,Silent,"2,35,71,85,86,901",23811
Czechia,2008,male,35-54 years,434,1457201,29.78,Boomers,"2,35,71,85,86,901",23811
Czechia,2008,male,55-74 years,291,1075692,27.05,Silent,"2,35,71,85,86,901",23811
Czechia,2008,male,25-34 years,162,892070,18.16,Generation X,"2,35,71,85,86,901",23811
Czechia,2008,male,15-24 years,96,692756,13.86,Millenials,"2,35,71,85,86,901",23811
Czechia,2008,female,75+ years,37,446156,8.29,Silent,"2,35,71,85,86,901",23811
Czechia,2008,female,55-74 years,84,1241767,6.76,Silent,"2,35,71,85,86,901",23811
Czechia,2008,female,35-54 years,88,1412333,6.23,Boomers,"2,35,71,85,86,901",23811
Czechia,2008,female,25-34 years,32,842858,3.8,Generation X,"2,35,71,85,86,901",23811
Czechia,2008,female,15-24 years,14,653487,2.14,Millenials,"2,35,71,85,86,901",23811
Czechia,2008,male,5-14 years,3,487813,0.61,Generation Z,"2,35,71,85,86,901",23811
Czechia,2008,female,5-14 years,1,461711,0.22,Generation Z,"2,35,71,85,86,901",23811
Czechia,2009,male,75+ years,135,240265,56.19,Silent,"2,06,17,99,82,164",20748
Czechia,2009,male,35-54 years,476,1480738,32.15,Boomers,"2,06,17,99,82,164",20748
Czechia,2009,male,55-74 years,337,1100133,30.63,Silent,"2,06,17,99,82,164",20748
Czechia,2009,male,25-34 years,199,880108,22.61,Generation X,"2,06,17,99,82,164",20748
Czechia,2009,male,15-24 years,81,685218,11.82,Millenials,"2,06,17,99,82,164",20748
Czechia,2009,female,75+ years,42,450517,9.32,Silent,"2,06,17,99,82,164",20748
Czechia,2009,female,55-74 years,78,1265312,6.16,Silent,"2,06,17,99,82,164",20748
Czechia,2009,female,35-54 years,79,1428022,5.53,Boomers,"2,06,17,99,82,164",20748
Czechia,2009,female,15-24 years,16,646079,2.48,Millenials,"2,06,17,99,82,164",20748
Czechia,2009,female,25-34 years,18,827079,2.18,Generation X,"2,06,17,99,82,164",20748
Czechia,2009,male,5-14 years,2,479988,0.42,Generation Z,"2,06,17,99,82,164",20748
Czechia,2009,female,5-14 years,1,453948,0.22,Generation Z,"2,06,17,99,82,164",20748
Czechia,2010,male,75+ years,115,243211,47.28,Silent,"2,07,47,78,57,919",20862
Czechia,2010,male,55-74 years,394,1121705,35.13,Silent,"2,07,47,78,57,919",20862
Czechia,2010,male,35-54 years,473,1499075,31.55,Generation X,"2,07,47,78,57,919",20862
Czechia,2010,male,25-34 years,168,858416,19.57,Generation X,"2,07,47,78,57,919",20862
Czechia,2010,male,15-24 years,94,665538,14.12,Millenials,"2,07,47,78,57,919",20862
Czechia,2010,female,75+ years,40,453417,8.82,Silent,"2,07,47,78,57,919",20862
Czechia,2010,female,55-74 years,84,1288749,6.52,Silent,"2,07,47,78,57,919",20862
Czechia,2010,female,35-54 years,87,1445352,6.02,Generation X,"2,07,47,78,57,919",20862
Czechia,2010,female,25-34 years,26,805752,3.23,Generation X,"2,07,47,78,57,919",20862
Czechia,2010,female,15-24 years,20,629937,3.17,Millenials,"2,07,47,78,57,919",20862
Czechia,2010,male,5-14 years,1,479853,0.21,Generation Z,"2,07,47,78,57,919",20862
Czechia,2010,female,5-14 years,0,454268,0,Generation Z,"2,07,47,78,57,919",20862
Czechia,2011,male,75+ years,118,246004,47.97,Silent,"2,27,94,83,49,666",23010
Czechia,2011,male,55-74 years,424,1152114,36.8,Boomers,"2,27,94,83,49,666",23010
Czechia,2011,male,35-54 years,500,1517715,32.94,Generation X,"2,27,94,83,49,666",23010
Czechia,2011,male,25-34 years,173,818695,21.13,Millenials,"2,27,94,83,49,666",23010
Czechia,2011,male,15-24 years,120,632356,18.98,Millenials,"2,27,94,83,49,666",23010
Czechia,2011,female,75+ years,43,454906,9.45,Silent,"2,27,94,83,49,666",23010
Czechia,2011,female,35-54 years,86,1456523,5.9,Generation X,"2,27,94,83,49,666",23010
Czechia,2011,female,55-74 years,77,1312571,5.87,Boomers,"2,27,94,83,49,666",23010
Czechia,2011,female,25-34 years,28,771896,3.63,Millenials,"2,27,94,83,49,666",23010
Czechia,2011,female,15-24 years,19,602033,3.16,Millenials,"2,27,94,83,49,666",23010
Czechia,2011,male,5-14 years,2,483911,0.41,Generation Z,"2,27,94,83,49,666",23010
Czechia,2011,female,5-14 years,0,457594,0,Generation Z,"2,27,94,83,49,666",23010
Czechia,2012,male,75+ years,146,248952,58.65,Silent,"2,07,37,64,27,021",20898
Czechia,2012,male,55-74 years,430,1173069,36.66,Boomers,"2,07,37,64,27,021",20898
Czechia,2012,male,35-54 years,538,1537251,35,Generation X,"2,07,37,64,27,021",20898
Czechia,2012,male,25-34 years,179,796162,22.48,Millenials,"2,07,37,64,27,021",20898
Czechia,2012,male,15-24 years,84,609704,13.78,Millenials,"2,07,37,64,27,021",20898
Czechia,2012,female,75+ years,45,456859,9.85,Silent,"2,07,37,64,27,021",20898
Czechia,2012,female,55-74 years,106,1333013,7.95,Boomers,"2,07,37,64,27,021",20898
Czechia,2012,female,35-54 years,94,1471892,6.39,Generation X,"2,07,37,64,27,021",20898
Czechia,2012,female,25-34 years,22,750032,2.93,Millenials,"2,07,37,64,27,021",20898
Czechia,2012,female,15-24 years,10,581629,1.72,Millenials,"2,07,37,64,27,021",20898
Czechia,2012,male,5-14 years,3,495721,0.61,Generation Z,"2,07,37,64,27,021",20898
Czechia,2012,female,5-14 years,1,468843,0.21,Generation Z,"2,07,37,64,27,021",20898
Czechia,2013,male,75+ years,129,252532,51.08,Silent,"2,09,40,24,44,996",21073
Czechia,2013,male,55-74 years,399,1188011,33.59,Boomers,"2,09,40,24,44,996",21073
Czechia,2013,male,35-54 years,485,1556338,31.16,Generation X,"2,09,40,24,44,996",21073
Czechia,2013,male,25-34 years,168,773130,21.73,Millenials,"2,09,40,24,44,996",21073
Czechia,2013,male,15-24 years,108,586871,18.4,Millenials,"2,09,40,24,44,996",21073
Czechia,2013,female,75+ years,36,459282,7.84,Silent,"2,09,40,24,44,996",21073
Czechia,2013,female,35-54 years,108,1488299,7.26,Generation X,"2,09,40,24,44,996",21073
Czechia,2013,female,55-74 years,92,1347862,6.83,Boomers,"2,09,40,24,44,996",21073
Czechia,2013,female,25-34 years,30,729365,4.11,Millenials,"2,09,40,24,44,996",21073
Czechia,2013,female,15-24 years,15,560391,2.68,Millenials,"2,09,40,24,44,996",21073
Czechia,2013,male,5-14 years,5,510895,0.98,Generation Z,"2,09,40,24,44,996",21073
Czechia,2013,female,5-14 years,2,483804,0.41,Generation Z,"2,09,40,24,44,996",21073
Czechia,2014,male,75+ years,123,257383,47.79,Silent,"2,07,81,83,30,724",20859
Czechia,2014,male,55-74 years,364,1197687,30.39,Boomers,"2,07,81,83,30,724",20859
Czechia,2014,male,35-54 years,467,1580637,29.55,Generation X,"2,07,81,83,30,724",20859
Czechia,2014,male,25-34 years,157,752372,20.87,Millenials,"2,07,81,83,30,724",20859
Czechia,2014,male,15-24 years,84,565782,14.85,Millenials,"2,07,81,83,30,724",20859
Czechia,2014,female,75+ years,54,464061,11.64,Silent,"2,07,81,83,30,724",20859
Czechia,2014,female,55-74 years,107,1356408,7.89,Boomers,"2,07,81,83,30,724",20859
Czechia,2014,female,35-54 years,94,1509758,6.23,Generation X,"2,07,81,83,30,724",20859
Czechia,2014,female,25-34 years,26,711374,3.65,Millenials,"2,07,81,83,30,724",20859
Czechia,2014,female,15-24 years,11,540106,2.04,Millenials,"2,07,81,83,30,724",20859
Czechia,2014,female,5-14 years,1,500027,0.2,Generation Z,"2,07,81,83,30,724",20859
Czechia,2014,male,5-14 years,1,527532,0.19,Generation Z,"2,07,81,83,30,724",20859
Czechia,2015,male,75+ years,145,264401,54.84,Silent,"1,86,82,99,40,546",18703
Czechia,2015,male,55-74 years,373,1202553,31.02,Boomers,"1,86,82,99,40,546",18703
Czechia,2015,male,35-54 years,404,1602521,25.21,Generation X,"1,86,82,99,40,546",18703
Czechia,2015,male,25-34 years,151,737221,20.48,Millenials,"1,86,82,99,40,546",18703
Czechia,2015,male,15-24 years,58,546597,10.61,Millenials,"1,86,82,99,40,546",18703
Czechia,2015,female,75+ years,44,471092,9.34,Silent,"1,86,82,99,40,546",18703
Czechia,2015,female,55-74 years,80,1358421,5.89,Boomers,"1,86,82,99,40,546",18703
Czechia,2015,female,35-54 years,86,1528289,5.63,Generation X,"1,86,82,99,40,546",18703
Czechia,2015,female,15-24 years,19,521060,3.65,Millenials,"1,86,82,99,40,546",18703
Czechia,2015,female,25-34 years,20,698584,2.86,Millenials,"1,86,82,99,40,546",18703
Czechia,2015,female,5-14 years,5,515457,0.97,Generation Z,"1,86,82,99,40,546",18703
Czechia,2015,male,5-14 years,2,543129,0.37,Generation Z,"1,86,82,99,40,546",18703
Czechia,2016,male,75+ years,140,273637,51.16,Silent,"1,95,30,50,84,919",19505
Czechia,2016,male,55-74 years,319,1205832,26.45,Boomers,"1,95,30,50,84,919",19505
Czechia,2016,male,35-54 years,386,1617906,23.86,Generation X,"1,95,30,50,84,919",19505
Czechia,2016,male,25-34 years,137,729199,18.79,Millenials,"1,95,30,50,84,919",19505
Czechia,2016,male,15-24 years,78,527890,14.78,Millenials,"1,95,30,50,84,919",19505
Czechia,2016,female,55-74 years,86,1358948,6.33,Boomers,"1,95,30,50,84,919",19505
Czechia,2016,female,35-54 years,91,1541109,5.9,Generation X,"1,95,30,50,84,919",19505
Czechia,2016,female,75+ years,25,480884,5.2,Silent,"1,95,30,50,84,919",19505
Czechia,2016,female,25-34 years,34,691963,4.91,Millenials,"1,95,30,50,84,919",19505
Czechia,2016,female,15-24 years,22,502574,4.38,Millenials,"1,95,30,50,84,919",19505
Denmark,2000,male,75+ years,72,138454,52,G.I. Generation,"1,64,15,88,00,460",32841
Denmark,2000,male,55-74 years,142,495321,28.67,Silent,"1,64,15,88,00,460",32841
Denmark,2000,male,35-54 years,218,783883,27.81,Boomers,"1,64,15,88,00,460",32841
Denmark,2000,female,75+ years,42,239483,17.54,G.I. Generation,"1,64,15,88,00,460",32841
Denmark,2000,male,25-34 years,61,403105,15.13,Generation X,"1,64,15,88,00,460",32841
Denmark,2000,male,15-24 years,39,310470,12.56,Generation X,"1,64,15,88,00,460",32841
Denmark,2000,female,55-74 years,54,528095,10.23,Silent,"1,64,15,88,00,460",32841
Denmark,2000,female,35-54 years,74,760859,9.73,Boomers,"1,64,15,88,00,460",32841
Denmark,2000,female,25-34 years,16,389550,4.11,Generation X,"1,64,15,88,00,460",32841
Denmark,2000,female,15-24 years,9,300690,2.99,Generation X,"1,64,15,88,00,460",32841
Denmark,2000,male,5-14 years,1,332762,0.3,Millenials,"1,64,15,88,00,460",32841
Denmark,2000,female,5-14 years,0,315938,0,Millenials,"1,64,15,88,00,460",32841
Denmark,2001,male,75+ years,82,139637,58.72,Silent,"1,64,79,14,16,350",32837
Denmark,2001,male,35-54 years,204,783604,26.03,Boomers,"1,64,79,14,16,350",32837
Denmark,2001,male,55-74 years,123,512361,24.01,Silent,"1,64,79,14,16,350",32837
Denmark,2001,female,75+ years,48,239716,20.02,Silent,"1,64,79,14,16,350",32837
Denmark,2001,female,55-74 years,83,541963,15.31,Silent,"1,64,79,14,16,350",32837
Denmark,2001,male,25-34 years,58,394591,14.7,Generation X,"1,64,79,14,16,350",32837
Denmark,2001,male,15-24 years,38,304335,12.49,Millenials,"1,64,79,14,16,350",32837
Denmark,2001,female,35-54 years,73,761705,9.58,Boomers,"1,64,79,14,16,350",32837
Denmark,2001,female,15-24 years,7,294773,2.37,Millenials,"1,64,79,14,16,350",32837
Denmark,2001,female,25-34 years,9,383262,2.35,Generation X,"1,64,79,14,16,350",32837
Denmark,2001,male,5-14 years,2,340220,0.59,Millenials,"1,64,79,14,16,350",32837
Denmark,2001,female,5-14 years,0,322284,0,Millenials,"1,64,79,14,16,350",32837
Denmark,2002,male,75+ years,77,140549,54.79,Silent,"1,78,63,51,60,297",35435
Denmark,2002,male,55-74 years,140,528640,26.48,Silent,"1,78,63,51,60,297",35435
Denmark,2002,male,35-54 years,182,784825,23.19,Boomers,"1,78,63,51,60,297",35435
Denmark,2002,female,75+ years,42,239014,17.57,Silent,"1,78,63,51,60,297",35435
Denmark,2002,male,25-34 years,64,383869,16.67,Generation X,"1,78,63,51,60,297",35435
Denmark,2002,male,15-24 years,40,302190,13.24,Millenials,"1,78,63,51,60,297",35435
Denmark,2002,female,55-74 years,63,556057,11.33,Silent,"1,78,63,51,60,297",35435
Denmark,2002,female,35-54 years,63,762841,8.26,Boomers,"1,78,63,51,60,297",35435
Denmark,2002,female,25-34 years,11,374887,2.93,Generation X,"1,78,63,51,60,297",35435
Denmark,2002,female,15-24 years,6,292727,2.05,Millenials,"1,78,63,51,60,297",35435
Denmark,2002,female,5-14 years,0,328734,0,Millenials,"1,78,63,51,60,297",35435
Denmark,2002,male,5-14 years,0,346889,0,Millenials,"1,78,63,51,60,297",35435
Denmark,2003,male,75+ years,73,141062,51.75,Silent,"2,18,09,59,97,085",43129
Denmark,2003,male,35-54 years,206,784047,26.27,Boomers,"2,18,09,59,97,085",43129
Denmark,2003,male,55-74 years,129,542296,23.79,Silent,"2,18,09,59,97,085",43129
Denmark,2003,male,25-34 years,48,376343,12.75,Generation X,"2,18,09,59,97,085",43129
Denmark,2003,female,75+ years,26,237848,10.93,Silent,"2,18,09,59,97,085",43129
Denmark,2003,female,55-74 years,59,567852,10.39,Silent,"2,18,09,59,97,085",43129
Denmark,2003,male,15-24 years,24,300836,7.98,Millenials,"2,18,09,59,97,085",43129
Denmark,2003,female,35-54 years,43,763110,5.63,Boomers,"2,18,09,59,97,085",43129
Denmark,2003,female,25-34 years,19,369080,5.15,Generation X,"2,18,09,59,97,085",43129
Denmark,2003,female,15-24 years,6,290582,2.06,Millenials,"2,18,09,59,97,085",43129
Denmark,2003,female,5-14 years,0,332848,0,Millenials,"2,18,09,59,97,085",43129
Denmark,2003,male,5-14 years,0,350879,0,Millenials,"2,18,09,59,97,085",43129
Denmark,2004,male,75+ years,69,142305,48.49,Silent,"2,51,37,30,36,671",49552
Denmark,2004,male,35-54 years,180,782832,22.99,Boomers,"2,51,37,30,36,671",49552
Denmark,2004,male,55-74 years,125,553556,22.58,Silent,"2,51,37,30,36,671",49552
Denmark,2004,male,25-34 years,60,369973,16.22,Generation X,"2,51,37,30,36,671",49552
Denmark,2004,female,55-74 years,66,578536,11.41,Silent,"2,51,37,30,36,671",49552
Denmark,2004,male,15-24 years,33,301933,10.93,Millenials,"2,51,37,30,36,671",49552
Denmark,2004,female,75+ years,23,237260,9.69,Silent,"2,51,37,30,36,671",49552
Denmark,2004,female,35-54 years,71,762293,9.31,Boomers,"2,51,37,30,36,671",49552
Denmark,2004,female,25-34 years,19,364710,5.21,Generation X,"2,51,37,30,36,671",49552
Denmark,2004,female,15-24 years,11,290626,3.78,Millenials,"2,51,37,30,36,671",49552
Denmark,2004,female,5-14 years,2,335587,0.6,Millenials,"2,51,37,30,36,671",49552
Denmark,2004,male,5-14 years,2,353316,0.57,Millenials,"2,51,37,30,36,671",49552
Denmark,2005,male,75+ years,83,143327,57.91,Silent,"2,64,46,73,08,109",51960
Denmark,2005,male,55-74 years,139,564794,24.61,Silent,"2,64,46,73,08,109",51960
Denmark,2005,male,35-54 years,158,781448,20.22,Boomers,"2,64,46,73,08,109",51960
Denmark,2005,female,75+ years,38,236734,16.05,Silent,"2,64,46,73,08,109",51960
Denmark,2005,male,25-34 years,53,364110,14.56,Generation X,"2,64,46,73,08,109",51960
Denmark,2005,female,55-74 years,61,588430,10.37,Silent,"2,64,46,73,08,109",51960
Denmark,2005,female,35-54 years,58,762175,7.61,Boomers,"2,64,46,73,08,109",51960
Denmark,2005,male,15-24 years,21,305232,6.88,Millenials,"2,64,46,73,08,109",51960
Denmark,2005,female,25-34 years,10,360100,2.78,Generation X,"2,64,46,73,08,109",51960
Denmark,2005,female,15-24 years,7,292929,2.39,Millenials,"2,64,46,73,08,109",51960
Denmark,2005,male,5-14 years,3,354025,0.85,Millenials,"2,64,46,73,08,109",51960
Denmark,2005,female,5-14 years,0,336548,0,Millenials,"2,64,46,73,08,109",51960
Denmark,2006,male,75+ years,79,144928,54.51,Silent,"2,82,88,49,12,894",55354
Denmark,2006,male,55-74 years,155,575056,26.95,Silent,"2,82,88,49,12,894",55354
Denmark,2006,male,35-54 years,161,782816,20.57,Boomers,"2,82,88,49,12,894",55354
Denmark,2006,male,25-34 years,52,355908,14.61,Generation X,"2,82,88,49,12,894",55354
Denmark,2006,female,55-74 years,71,597984,11.87,Silent,"2,82,88,49,12,894",55354
Denmark,2006,female,75+ years,25,236472,10.57,Silent,"2,82,88,49,12,894",55354
Denmark,2006,male,15-24 years,24,312053,7.69,Millenials,"2,82,88,49,12,894",55354
Denmark,2006,female,35-54 years,57,763418,7.47,Boomers,"2,82,88,49,12,894",55354
Denmark,2006,female,25-34 years,15,353444,4.24,Generation X,"2,82,88,49,12,894",55354
Denmark,2006,female,15-24 years,9,298500,3.02,Millenials,"2,82,88,49,12,894",55354
Denmark,2006,female,5-14 years,1,336170,0.3,Millenials,"2,82,88,49,12,894",55354
Denmark,2006,male,5-14 years,1,353711,0.28,Millenials,"2,82,88,49,12,894",55354
Denmark,2007,male,75+ years,59,146309,40.33,Silent,"3,19,42,33,70,134",62229
Denmark,2007,male,55-74 years,124,584457,21.22,Silent,"3,19,42,33,70,134",62229
Denmark,2007,male,35-54 years,145,786990,18.42,Boomers,"3,19,42,33,70,134",62229
Denmark,2007,male,25-34 years,56,347246,16.13,Generation X,"3,19,42,33,70,134",62229
Denmark,2007,female,75+ years,33,235854,13.99,Silent,"3,19,42,33,70,134",62229
Denmark,2007,female,35-54 years,71,768072,9.24,Boomers,"3,19,42,33,70,134",62229
Denmark,2007,female,55-74 years,55,606387,9.07,Silent,"3,19,42,33,70,134",62229
Denmark,2007,male,15-24 years,15,320054,4.69,Millenials,"3,19,42,33,70,134",62229
Denmark,2007,female,25-34 years,15,345418,4.34,Generation X,"3,19,42,33,70,134",62229
Denmark,2007,female,15-24 years,6,305722,1.96,Millenials,"3,19,42,33,70,134",62229
Denmark,2007,male,5-14 years,2,351664,0.57,Generation Z,"3,19,42,33,70,134",62229
Denmark,2007,female,5-14 years,0,334828,0,Generation Z,"3,19,42,33,70,134",62229
Denmark,2008,male,75+ years,62,147834,41.94,Silent,"3,53,36,10,56,080",68447
Denmark,2008,male,55-74 years,127,595286,21.33,Silent,"3,53,36,10,56,080",68447
Denmark,2008,male,35-54 years,150,788890,19.01,Boomers,"3,53,36,10,56,080",68447
Denmark,2008,male,25-34 years,48,341329,14.06,Generation X,"3,53,36,10,56,080",68447
Denmark,2008,female,75+ years,27,235396,11.47,Silent,"3,53,36,10,56,080",68447
Denmark,2008,female,55-74 years,63,616691,10.22,Silent,"3,53,36,10,56,080",68447
Denmark,2008,female,35-54 years,76,770688,9.86,Boomers,"3,53,36,10,56,080",68447
Denmark,2008,male,15-24 years,30,330409,9.08,Millenials,"3,53,36,10,56,080",68447
Denmark,2008,female,25-34 years,9,338992,2.65,Generation X,"3,53,36,10,56,080",68447
Denmark,2008,female,15-24 years,8,315514,2.54,Millenials,"3,53,36,10,56,080",68447
Denmark,2008,female,5-14 years,2,332388,0.6,Generation Z,"3,53,36,10,56,080",68447
Denmark,2008,male,5-14 years,1,349108,0.29,Generation Z,"3,53,36,10,56,080",68447
Denmark,2009,male,75+ years,64,150153,42.62,Silent,"3,21,24,13,96,034",61863
Denmark,2009,male,55-74 years,165,604423,27.3,Silent,"3,21,24,13,96,034",61863
Denmark,2009,male,35-54 years,186,790578,23.53,Boomers,"3,21,24,13,96,034",61863
Denmark,2009,female,75+ years,32,235213,13.6,Silent,"3,21,24,13,96,034",61863
Denmark,2009,male,25-34 years,36,335963,10.72,Generation X,"3,21,24,13,96,034",61863
Denmark,2009,female,55-74 years,52,625986,8.31,Silent,"3,21,24,13,96,034",61863
Denmark,2009,male,15-24 years,24,340143,7.06,Millenials,"3,21,24,13,96,034",61863
Denmark,2009,female,35-54 years,43,773415,5.56,Boomers,"3,21,24,13,96,034",61863
Denmark,2009,female,25-34 years,13,334052,3.89,Generation X,"3,21,24,13,96,034",61863
Denmark,2009,female,15-24 years,4,324876,1.23,Millenials,"3,21,24,13,96,034",61863
Denmark,2009,male,5-14 years,2,347259,0.58,Generation Z,"3,21,24,13,96,034",61863
Denmark,2009,female,5-14 years,1,330729,0.3,Generation Z,"3,21,24,13,96,034",61863
Denmark,2010,male,75+ years,61,153231,39.81,Silent,"3,21,99,53,50,347",61711
Denmark,2010,male,55-74 years,142,613233,23.16,Silent,"3,21,99,53,50,347",61711
Denmark,2010,male,35-54 years,142,791338,17.94,Generation X,"3,21,99,53,50,347",61711
Denmark,2010,male,25-34 years,43,329780,13.04,Generation X,"3,21,99,53,50,347",61711
Denmark,2010,female,75+ years,22,236409,9.31,Silent,"3,21,99,53,50,347",61711
Denmark,2010,female,55-74 years,56,634607,8.82,Silent,"3,21,99,53,50,347",61711
Denmark,2010,female,35-54 years,64,776699,8.24,Generation X,"3,21,99,53,50,347",61711
Denmark,2010,male,15-24 years,17,349175,4.87,Millenials,"3,21,99,53,50,347",61711
Denmark,2010,female,15-24 years,10,333696,3,Millenials,"3,21,99,53,50,347",61711
Denmark,2010,female,25-34 years,6,327722,1.83,Generation X,"3,21,99,53,50,347",61711
Denmark,2010,female,5-14 years,0,327790,0,Generation Z,"3,21,99,53,50,347",61711
Denmark,2010,male,5-14 years,0,344105,0,Generation Z,"3,21,99,53,50,347",61711
Denmark,2011,male,75+ years,48,156856,30.6,Silent,"3,44,00,32,09,696",65598
Denmark,2011,male,35-54 years,189,791137,23.89,Generation X,"3,44,00,32,09,696",65598
Denmark,2011,male,55-74 years,139,621859,22.35,Boomers,"3,44,00,32,09,696",65598
Denmark,2011,male,25-34 years,35,326633,10.72,Millenials,"3,44,00,32,09,696",65598
Denmark,2011,female,75+ years,22,237867,9.25,Silent,"3,44,00,32,09,696",65598
Denmark,2011,female,55-74 years,57,643276,8.86,Boomers,"3,44,00,32,09,696",65598
Denmark,2011,male,15-24 years,26,356319,7.3,Millenials,"3,44,00,32,09,696",65598
Denmark,2011,female,35-54 years,50,778373,6.42,Generation X,"3,44,00,32,09,696",65598
Denmark,2011,female,25-34 years,12,323639,3.71,Millenials,"3,44,00,32,09,696",65598
Denmark,2011,female,15-24 years,11,340056,3.23,Millenials,"3,44,00,32,09,696",65598
Denmark,2011,female,5-14 years,0,326359,0,Generation Z,"3,44,00,32,09,696",65598
Denmark,2011,male,5-14 years,0,341776,0,Generation Z,"3,44,00,32,09,696",65598
Denmark,2012,male,75+ years,67,161259,41.55,Silent,"3,27,14,88,99,962",62071
Denmark,2012,male,35-54 years,209,788215,26.52,Generation X,"3,27,14,88,99,962",62071
Denmark,2012,male,55-74 years,153,630159,24.28,Boomers,"3,27,14,88,99,962",62071
Denmark,2012,female,55-74 years,71,651381,10.9,Boomers,"3,27,14,88,99,962",62071
Denmark,2012,male,25-34 years,31,326746,9.49,Millenials,"3,27,14,88,99,962",62071
Denmark,2012,male,15-24 years,33,362466,9.1,Millenials,"3,27,14,88,99,962",62071
Denmark,2012,female,75+ years,19,240759,7.89,Silent,"3,27,14,88,99,962",62071
Denmark,2012,female,35-54 years,58,776419,7.47,Generation X,"3,27,14,88,99,962",62071
Denmark,2012,female,25-34 years,11,322504,3.41,Millenials,"3,27,14,88,99,962",62071
Denmark,2012,female,15-24 years,8,346154,2.31,Millenials,"3,27,14,88,99,962",62071
Denmark,2012,male,5-14 years,1,340022,0.29,Generation Z,"3,27,14,88,99,962",62071
Denmark,2012,female,5-14 years,0,324455,0,Generation Z,"3,27,14,88,99,962",62071
Denmark,2013,male,75+ years,62,166011,37.35,Silent,"3,43,58,43,85,594",64831
Denmark,2013,male,55-74 years,157,637775,24.62,Boomers,"3,43,58,43,85,594",64831
Denmark,2013,male,35-54 years,174,785198,22.16,Generation X,"3,43,58,43,85,594",64831
Denmark,2013,female,75+ years,25,243880,10.25,Silent,"3,43,58,43,85,594",64831
Denmark,2013,male,25-34 years,33,328192,10.06,Millenials,"3,43,58,43,85,594",64831
Denmark,2013,female,55-74 years,52,658936,7.89,Boomers,"3,43,58,43,85,594",64831
